document	topic	gamma
17838-2_1814	1	0.07432432432432433
17838-3_1814	1	0.006944444444444444
17838-4_1814	1	0.1865671641791045
17838-5_1814	1	0.036231884057971016
17842-1_1818	1	0.0078125
17843_1818	1	0.005376344086021506
17844_1818	1	0.028225806451612902
17845-1_1818	1	0.10326086956521739
17845-2_1818	1	0.01744186046511628
17845-3_1818	1	0.03888888888888889
17846-1_1819	1	0.008064516129032258
17846-2_1819	1	0.008333333333333333
17846-3_1819	1	0.008620689655172414
17847_1816	1	0.009615384615384616
17848_1816	1	0.08333333333333333
17849_1816	1	0.011029411764705883
17850-1_1822	1	0.005555555555555556
17850-2_1822	1	0.005319148936170213
17850-3_1822	1	0.029069767441860465
17851-1_1828	1	0.2125
17851-2_1828	1	0.007575757575757576
17851-3_1828	1	0.2012987012987013
17853-1_1831	1	0.006756756756756757
17854-1_1831	1	0.04929577464788732
17854-2_1831	1	0.02054794520547945
17854-3_1831	1	0.04285714285714286
17855-1_1831	1	0.06626506024096386
17855-2_1831	1	0.017241379310344827
17855-3_1831	1	0.018518518518518517
17856-1_1831	1	0.5337078651685393
17857-1_1831	1	0.023076923076923078
17858-1_1831	1	0.03
17858-2_1831	1	0.022058823529411766
17858-3_1831	1	0.06338028169014084
17858-4_1831	1	0.006756756756756757
17858-5_1831	1	0.007042253521126761
17859-1_1831	1	0.019736842105263157
17859-2_1831	1	0.017045454545454544
17859-3_1831	1	0.026881720430107527
17859-4_1831	1	0.006024096385542169
17859-5_1831	1	0.03763440860215054
17860-1_1831	1	0.006097560975609756
17860-2_1831	1	0.016483516483516484
17860-3_1831	1	0.0058823529411764705
17861-1_1832	1	0.00625
17861-2_1832	1	0.02142857142857143
17861-3_1832	1	0.006944444444444444
17861-4_1832	1	0.02142857142857143
17861-5_1832	1	0.005952380952380952
17862-1_1832	1	0.03164556962025317
17863-1_1832	1	0.011811023622047244
17864_1832	1	0.01056338028169014
17865-1_1832	1	0.032467532467532464
17866_1833	1	0.003289473684210526
17867-1_1833	1	0.006756756756756757
17867-2_1833	1	0.036231884057971016
17867-3_1833	1	0.08088235294117647
17867-4_1833	1	0.02027027027027027
17867-5_1833	1	0.007692307692307693
18_1840	1	0.00228310502283105
180_1844	1	0.00625
182-1_1844	1	0.22
182-2_1844	1	0.0040650406504065045
182-3_1844	1	0.05416666666666667
182-4_1844	1	0.07851239669421488
182-5_1844	1	0.0040650406504065045
182-6_1844	1	0.15163934426229508
182-7_1844	1	0.004
182-8_1844	1	0.03237410071942446
183_1844	1	0.01020408163265306
184_1845	1	0.06428571428571428
189_1846	1	0.04887218045112782
19_1840	1	0.06944444444444445
190_1846	1	0.005172413793103448
191_1846	1	0.002304147465437788
192_1846	1	0.14673913043478262
193_1848	1	0.006172839506172839
195_1848	1	0.0945945945945946
196_1848	1	0.015
197-1_1848	1	0.0037313432835820895
197-2_1848	1	0.014462809917355372
198_1848	1	0.002304147465437788
199_1850	1	0.004032258064516129
2_1840	1	0.014705882352941176
200_1850	1	0.3443396226415094
201_1850	1	0.00847457627118644
202_1850	1	0.1902654867256637
204_1846	1	0.027472527472527472
205-1_1840	1	0.011194029850746268
205-2_1840	1	0.03333333333333333
205-3_1840	1	0.25357142857142856
205-4_1840	1	0.02727272727272727
206_1841	1	0.6063218390804598
207-1_1849	1	0.0028735632183908046
207-2_1849	1	0.018835616438356163
208_1849	1	0.0015822784810126582
209_1849	1	0.0022624434389140274
21_1840	1	0.02
210_1849	1	0.012626262626262626
211_1846	1	0.17286245353159851
212_1847	1	0.68359375
214_1827	1	0.020161290322580645
215_1832	1	0.09259259259259259
216_1835	1	0.12239583333333333
217_1821	1	0.014150943396226415
218_1825	1	0.023178807947019868
219-1_1838	1	0.049342105263157895
219-2_1838	1	0.01950354609929078
220_1831	1	0.004201680672268907
221-1_1838	1	0.003703703703703704
221-2_1838	1	0.03237410071942446
222_1839	1	0.004464285714285714
223_1829	1	0.025193798449612403
224_1831	1	0.018072289156626505
225-1_1838	1	0.003937007874015748
225-2_1838	1	0.0028735632183908046
226_1834	1	0.8776595744680851
227_1835	1	0.0018587360594795538
228_1838	1	0.025547445255474453
229_1839	1	0.004
23_1840	1	0.0019230769230769232
230-1_1827	1	0.0035971223021582736
230-2_1827	1	0.01937984496124031
230-3_1827	1	0.0037313432835820895
230-4_1827	1	0.0036231884057971015
230-5_1827	1	0.010344827586206896
230-6_1827	1	0.0035714285714285713
230-7_1827	1	0.010869565217391304
230-8_1827	1	0.08222222222222222
231_1838	1	0.0018115942028985507
232_1826	1	0.08883248730964467
233_1825	1	0.00205761316872428
235-1_1834	1	0.07666666666666666
235-2_1834	1	0.002325581395348837
236-1_1830	1	0.02023121387283237
236-2_1830	1	0.0015923566878980893
237_1835	1	0.004918032786885246
238-1_1833	1	0.3431372549019608
238-2_1833	1	0.30368098159509205
238-3_1833	1	0.1305732484076433
238-4_1833	1	0.18333333333333332
238-5_1833	1	0.2290836653386454
239_1835	1	0.003125
24-1_1840	1	0.003787878787878788
24-2_1840	1	0.004098360655737705
24-3_1840	1	0.0036231884057971015
24-4_1840	1	0.0037593984962406013
24-5_1840	1	0.0036496350364963502
24-6_1840	1	0.08260869565217391
24-7_1840	1	0.007009345794392523
240_1830	1	0.005319148936170213
241_1835	1	0.003424657534246575
242_1830	1	0.004901960784313725
243-1_1831	1	0.008333333333333333
243-2_1831	1	0.0350609756097561
244-1_1828	1	0.004
244-2_1828	1	0.040372670807453416
245_1834	1	0.041176470588235294
246_1836	1	0.002173913043478261
247_1829	1	0.03787878787878788
248-1_1833	1	0.030434782608695653
248-2_1833	1	0.0035971223021582736
248-3_1833	1	0.0036496350364963502
248-4_1833	1	0.0037593984962406013
248-5_1833	1	0.008064516129032258
249_1828	1	0.005813953488372093
25_1841	1	0.034722222222222224
250_1832	1	0.004347826086956522
251_1839	1	0.0026041666666666665
252_1834	1	0.012096774193548387
253_1839	1	0.010869565217391304
254_1835	1	0.0325
255_1835	1	0.004273504273504274
256_1835	1	0.0056179775280898875
257_1838	1	0.0040650406504065045
258_1838	1	0.0018796992481203006
259_1834	1	0.898936170212766
26_1841	1	0.0032679738562091504
260_1835	1	0.016129032258064516
261_1832	1	0.004901960784313725
262_1833	1	0.002564102564102564
263_1836	1	0.013227513227513227
264_1835	1	0.0033783783783783786
265_1834	1	0.03571428571428571
266-1_1834	1	0.1174496644295302
266-2_1834	1	0.057065217391304345
267_1830	1	0.01968503937007874
269_1827	1	0.02
270_1829	1	0.0038461538461538464
271-1_1833	1	0.2363013698630137
271-2_1833	1	0.4244791666666667
272_1839	1	0.017241379310344827
273-1_1838	1	0.01984126984126984
273-2_1838	1	0.01079136690647482
273-3_1838	1	0.00390625
273-4_1838	1	0.015625
274_1837	1	0.007911392405063292
275_1839	1	0.010917030567685589
276-1_1825	1	0.003472222222222222
276-2_1825	1	0.025362318840579712
276-3_1825	1	0.002127659574468085
278_1827	1	0.02663934426229508
279_1827	1	0.01717557251908397
28_1841	1	0.004901960784313725
280_1839	1	0.03823529411764706
281-1_1828	1	0.05851063829787234
281-2_1828	1	0.012
282-1_1828	1	0.0048543689320388345
282-2_1828	1	0.030434782608695653
282-3_1828	1	0.0043859649122807015
282-4_1828	1	0.0049504950495049506
282-5_1828	1	0.0028735632183908046
29_1841	1	0.003676470588235294
3_1840	1	0.11068702290076336
30_1841	1	0.007042253521126761
31-1_1841	1	0.040983606557377046
31-2_1841	1	0.03977272727272727
32_1841	1	0.021367521367521368
33_1841	1	0.006944444444444444
34_1841	1	0.003355704697986577
3463_1824	1	0.010344827586206896
35_1841	1	0.0035971223021582736
36-1_1841	1	0.005681818181818182
36-2_1841	1	0.030120481927710843
36-3_1841	1	0.005494505494505495
36-4_1841	1	0.01744186046511628
36-5_1841	1	0.016304347826086956
36-6_1841	1	0.01171875
3788_1820	1	0.005154639175257732
38_1840	1	0.003205128205128205
39-1_1841	1	0.21220930232558138
39-2_1841	1	0.17920353982300885
4_1840	1	0.013392857142857142
41_1841	1	0.515748031496063
42_1842	1	0.002824858757062147
43_1842	1	0.0035714285714285713
44_1842	1	0.005319148936170213
4475_1830	1	0.00641025641025641
4478_1830	1	0.0030303030303030303
4483_1835	1	0.015723270440251572
4489_1835	1	0.00819672131147541
45_1842	1	0.020833333333333332
47_1842	1	0.011363636363636364
48_1842	1	0.0035971223021582736
49_1842	1	0.016556291390728478
5_1840	1	0.001694915254237288
50_1842	1	0.009433962264150943
506-1_1832	1	0.06565656565656566
51_1842	1	0.02878787878787879
52_1842	1	0.008928571428571428
53-1_1842	1	0.002403846153846154
53-2_1842	1	0.0024630541871921183
53-3_1842	1	0.006224066390041493
53-4_1842	1	0.011666666666666667
54-1_1842	1	0.02464788732394366
54-2_1842	1	0.005791505791505791
55_1842	1	0.003787878787878788
56_1842	1	0.01485148514851485
57_1842	1	0.007692307692307693
58_1843	1	0.20089285714285715
5855-1_1825	1	0.007042253521126761
59_1843	1	0.014150943396226415
6_1840	1	0.006097560975609756
60_1843	1	0.16666666666666666
61_1843	1	0.004
63-1_1843	1	0.054838709677419356
63-2_1843	1	0.021341463414634148
63-3_1843	1	0.01020408163265306
63-4_1843	1	0.0024875621890547263
64_1844	1	0.003676470588235294
65_1844	1	0.003067484662576687
66_1844	1	0.002793296089385475
67_1844	1	0.006097560975609756
6782-1_1814	1	0.006756756756756757
6782-2_1814	1	0.08552631578947369
6782-3_1814	1	0.007575757575757576
6783-1_1815	1	0.04794520547945205
6783-2_1815	1	0.006756756756756757
6783-3_1815	1	0.2971014492753623
68_1843	1	0.011363636363636364
6807-1_1828	1	0.22164948453608246
6807-2_1828	1	0.09340659340659341
6807-3_1828	1	0.005494505494505495
6816-1_1814	1	0.0625
6817-1_1816	1	0.01948051948051948
6817-2_1816	1	0.006172839506172839
6817-3_1816	1	0.05
6817-4_1816	1	0.046052631578947366
6817-5_1816	1	0.043209876543209874
6818_1817	1	0.005555555555555556
69_1843	1	0.003355704697986577
6953-1_1838	1	0.07746478873239436
7_1840	1	0.016483516483516484
70_1844	1	0.010273972602739725
7028-1_1827	1	0.02027027027027027
71-1_1844	1	0.08389261744966443
71-2_1844	1	0.0880281690140845
71-3_1844	1	0.031862745098039214
7192_1836	1	0.008152173913043478
72_1844	1	0.01804123711340206
7200-1_1825	1	0.007042253521126761
73_1845	1	0.036585365853658534
74_1845	1	0.004901960784313725
746_1824	1	0.0033112582781456954
7482_1825	1	0.005319148936170213
75_1845	1	0.023076923076923078
7562_1829	1	0.005208333333333333
7563_1829	1	0.007042253521126761
7564_1829	1	0.008333333333333333
7573_1829	1	0.004132231404958678
7599-1_1830	1	0.030973451327433628
76_1841	1	0.0033333333333333335
7622_1830	1	0.004761904761904762
7653_1830	1	0.005952380952380952
7655_1830	1	0.009433962264150943
77-1_1845	1	0.009316770186335404
77-2_1845	1	0.0024390243902439024
7747-1_1831	1	0.09285714285714286
7774_1832	1	0.004132231404958678
78_1845	1	0.075
7817_1832	1	0.004629629629629629
7819_1832	1	0.003355704697986577
79_1845	1	0.011904761904761904
7915-1_1835	1	0.017857142857142856
8_1840	1	0.029411764705882353
80-1_1845	1	0.045180722891566265
80-2_1845	1	0.05865921787709497
81_1845	1	0.14497041420118342
82-1_1846	1	0.0036496350364963502
82-2_1846	1	0.0032679738562091504
83_1846	1	0.09130434782608696
84_1846	1	0.010638297872340425
85_1846	1	0.0125
86_1846	1	0.026041666666666668
87_1846	1	0.0375
877-1_1822	1	0.027472527472527472
88_1846	1	0.005434782608695652
886_1825	1	0.014619883040935672
89_1846	1	0.05808080808080808
898_1824	1	0.0030303030303030303
9_1840	1	0.0024390243902439024
90_1846	1	0.0035714285714285713
91_1847	1	0.006607929515418502
911_1831	1	0.02734375
9161_1831	1	0.004464285714285714
92_1847	1	0.05701754385964912
93_1847	1	0.004672897196261682
939-1_1824	1	0.00684931506849315
939-2_1824	1	0.00641025641025641
939-3_1824	1	0.08441558441558442
94_1847	1	0.11734693877551021
946_1825	1	0.025925925925925925
95_1847	1	0.04945054945054945
96-1_1847	1	0.004273504273504274
96-2_1847	1	0.01912568306010929
97_1847	1	0.011904761904761904
975_1827	1	0.00423728813559322
98_1847	1	0.004166666666666667
99_1847	1	0.042682926829268296
1_1840	2	0.7201492537313433
10_1840	2	0.2662337662337662
100_1847	2	0.005263157894736842
101_1847	2	0.31981981981981983
102-1_1847	2	0.1036036036036036
102-2_1847	2	0.0029239766081871343
1027-1_1829	2	0.1357142857142857
103_1848	2	0.6078947368421053
104-1_1848	2	0.09415584415584416
104-2_1848	2	0.023195876288659795
105_1848	2	0.004273504273504274
106_1841	2	0.1593959731543624
107_1850	2	0.07291666666666667
108_1850	2	0.12837837837837837
109_1843	2	0.026041666666666668
11_1840	2	0.22348484848484848
110_1850	2	0.22402597402597402
111_1846	2	0.04411764705882353
11192_1829	2	0.005747126436781609
112_1850	2	0.2094017094017094
113_1847	2	0.21808510638297873
114_1842	2	0.06521739130434782
115_1843	2	0.012096774193548387
1155_1835	2	0.003401360544217687
1156_1835	2	0.004273504273504274
116_1850	2	0.1814516129032258
1169_1826	2	0.07961783439490445
117_1850	2	0.05
118_1843	2	0.05434782608695652
119_1850	2	0.33088235294117646
11906_1830	2	0.045454545454545456
11994-1_1831	2	0.006944444444444444
12_1840	2	0.225
120_1850	2	0.007462686567164179
121_1850	2	0.0024752475247524753
122_1840	2	0.3924731182795699
123_1840	2	0.00641025641025641
12386_1820	2	0.068
124_1840	2	0.0024752475247524753
12447-1_1822	2	0.016666666666666666
12447-2_1822	2	0.02717391304347826
12447-3_1822	2	0.016853932584269662
12499_1824	2	0.05327868852459016
12529_1824	2	0.21895424836601307
12563-1_1825	2	0.08870967741935484
12563-2_1825	2	0.15217391304347827
12563-3_1825	2	0.3769230769230769
126_1840	2	0.24583333333333332
12692_1827	2	0.00423728813559322
127_1840	2	0.2357142857142857
12723-1_1828	2	0.16666666666666666
12726_1828	2	0.01020408163265306
12738_1828	2	0.021739130434782608
12761-1_1829	2	0.09558823529411764
128_1840	2	0.02
12814-1_1830	2	0.30246913580246915
12865-1_1833	2	0.007042253521126761
12865-2_1833	2	0.03048780487804878
12865-3_1833	2	0.032467532467532464
12871_1833	2	0.0024752475247524753
12872-1_1833	2	0.09701492537313433
12887-1_1834	2	0.11016949152542373
12891-1_1834	2	0.09883720930232558
12894-1_1834	2	0.005555555555555556
12897-1_1834	2	0.018518518518518517
12897-2_1834	2	0.0056179775280898875
12897-3_1834	2	0.005952380952380952
12898-1_1834	2	0.006024096385542169
12899_1834	2	0.006756756756756757
129_1841	2	0.28125
12908-1_1835	2	0.2540983606557377
12908-2_1835	2	0.10483870967741936
12908-3_1835	2	0.13380281690140844
13_1840	2	0.06490384615384616
130_1841	2	0.05357142857142857
131_1841	2	0.10869565217391304
132_1841	2	0.34705882352941175
133_1841	2	0.00625
134_1841	2	0.17088607594936708
135_1841	2	0.09848484848484848
136_1841	2	0.30198019801980197
137_1841	2	0.5054347826086957
138_1841	2	0.16747572815533981
139_1841	2	0.12650602409638553
14_1840	2	0.11895161290322581
140_1841	2	0.09027777777777778
141_1841	2	0.0942622950819672
142-1_1841	2	0.3055555555555556
142-2_1841	2	0.34105960264900664
143_1841	2	0.08928571428571429
144_1841	2	0.04954954954954955
145_1842	2	0.019230769230769232
147_1842	2	0.17567567567567569
148_1842	2	0.3092105263157895
149-1_1842	2	0.28525641025641024
149-2_1842	2	0.16549295774647887
149-3_1842	2	0.3235294117647059
149-4_1842	2	0.343205574912892
15_1840	2	0.24047619047619048
150_1842	2	0.3130841121495327
15038_1829	2	0.08778625954198473
15044_1829	2	0.6025641025641025
15058_1830	2	0.5303030303030303
15087_1835	2	0.37222222222222223
151_1842	2	0.1586021505376344
152_1843	2	0.4715909090909091
153_1844	2	0.044270833333333336
154_1844	2	0.33256880733944955
156_1845	2	0.23484848484848486
157_1847	2	0.1284153005464481
158_1847	2	0.17096774193548386
16_1840	2	0.011811023622047244
160_1848	2	0.16569767441860464
162_1849	2	0.09110169491525423
163_1849	2	0.008064516129032258
164_1850	2	0.04671280276816609
165_1840	2	0.08430232558139535
166_1840	2	0.028225806451612902
167_1840	2	0.4009433962264151
16732-1_1824	2	0.17307692307692307
16733_1824	2	0.04639175257731959
168-1_1840	2	0.03819444444444445
168-2_1840	2	0.14182692307692307
169_1840	2	0.24380165289256198
17_1840	2	0.10737179487179487
173_1841	2	0.18333333333333332
174_1842	2	0.4603960396039604
175_1842	2	0.029891304347826088
17543_1816	2	0.2037037037037037
176_1842	2	0.3320610687022901
177-1_1843	2	0.15808823529411764
177-2_1843	2	0.13486842105263158
177-3_1843	2	0.11746987951807229
17714_1831	2	0.02027027027027027
17740_1836	2	0.14130434782608695
178_1843	2	0.35833333333333334
17827-1_1808	2	0.034722222222222224
17827-2_1808	2	0.5117647058823529
17827-3_1808	2	0.5123456790123457
17827-4_1808	2	0.08441558441558442
17827-5_1808	2	0.63125
17828-1_1809	2	0.007142857142857143
17828-2_1809	2	0.15
17828-3_1809	2	0.020833333333333332
17829-1_1812	2	0.0125
17829-2_1812	2	0.023809523809523808
17829-3_1812	2	0.14788732394366197
17830-1_1813	2	0.2532467532467532
17830-2_1813	2	0.09210526315789473
17830-3_1813	2	0.05303030303030303
17831-1_1812	2	0.32608695652173914
17831-2_1812	2	0.12096774193548387
17831-3_1812	2	0.22916666666666666
17831-4_1812	2	0.05303030303030303
17831-5_1812	2	0.0546875
17832-1_1813	2	0.23333333333333334
17832-2_1813	2	0.14534883720930233
17832-3_1813	2	0.03125
17833-1_1814	2	0.21341463414634146
17833-2_1814	2	0.3271604938271605
17833-3_1814	2	0.07647058823529412
17834-1_1814	2	0.265625
17834-2_1814	2	0.23417721518987342
17834-3_1814	2	0.3390804597701149
17835-1_1814	2	0.075
17835-2_1814	2	0.008620689655172414
17835-3_1814	2	0.008620689655172414
17835-4_1814	2	0.009259259259259259
17835-5_1814	2	0.09722222222222222
17836-1_1814	2	0.04838709677419355
17836-2_1814	2	0.3271604938271605
17836-3_1814	2	0.13291139240506328
17837-1_1814	2	0.3356164383561644
17837-2_1814	2	0.057692307692307696
17837-3_1814	2	0.26811594202898553
17837-4_1814	2	0.16911764705882354
17837-5_1814	2	0.0859375
17838-1_1814	2	0.363013698630137
17838-2_1814	2	0.07432432432432433
17838-3_1814	2	0.2986111111111111
17838-4_1814	2	0.022388059701492536
17838-5_1814	2	0.036231884057971016
17842-1_1818	2	0.5078125
17843_1818	2	0.016129032258064516
17844_1818	2	0.21370967741935484
17845-1_1818	2	0.005434782608695652
17845-2_1818	2	0.01744186046511628
17845-3_1818	2	0.06111111111111111
17846-1_1819	2	0.008064516129032258
17846-2_1819	2	0.025
17846-3_1819	2	0.04310344827586207
17847_1816	2	0.04807692307692308
17848_1816	2	0.09615384615384616
17849_1816	2	0.2610294117647059
17850-1_1822	2	0.016666666666666666
17850-2_1822	2	0.44148936170212766
17850-3_1822	2	0.21511627906976744
17851-1_1828	2	0.0125
17851-2_1828	2	0.007575757575757576
17851-3_1828	2	0.006493506493506494
17853-1_1831	2	0.033783783783783786
17854-1_1831	2	0.06338028169014084
17854-2_1831	2	0.06164383561643835
17854-3_1831	2	0.04285714285714286
17855-1_1831	2	0.21084337349397592
17855-2_1831	2	0.1896551724137931
17855-3_1831	2	0.12962962962962962
17856-1_1831	2	0.1404494382022472
17857-1_1831	2	0.25384615384615383
17858-1_1831	2	0.25
17858-2_1831	2	0.41911764705882354
17858-3_1831	2	0.1056338028169014
17858-4_1831	2	0.27702702702702703
17858-5_1831	2	0.5
17859-1_1831	2	0.46710526315789475
17859-2_1831	2	0.3693181818181818
17859-3_1831	2	0.25268817204301075
17859-4_1831	2	0.030120481927710843
17859-5_1831	2	0.1774193548387097
17860-1_1831	2	0.006097560975609756
17860-2_1831	2	0.45604395604395603
17860-3_1831	2	0.01764705882352941
17861-1_1832	2	0.13125
17861-2_1832	2	0.03571428571428571
17861-3_1832	2	0.2569444444444444
17861-4_1832	2	0.007142857142857143
17861-5_1832	2	0.43452380952380953
17862-1_1832	2	0.03164556962025317
17863-1_1832	2	0.051181102362204724
17864_1832	2	0.0035211267605633804
17865-1_1832	2	0.21428571428571427
17866_1833	2	0.003289473684210526
17867-1_1833	2	0.07432432432432433
17867-2_1833	2	0.007246376811594203
17867-3_1833	2	0.007352941176470588
17867-4_1833	2	0.033783783783783786
17867-5_1833	2	0.17692307692307693
18_1840	2	0.2625570776255708
180_1844	2	0.027083333333333334
182-1_1844	2	0.02
182-2_1844	2	0.24796747967479674
182-3_1844	2	0.2375
182-4_1844	2	0.10330578512396695
182-5_1844	2	0.06910569105691057
182-6_1844	2	0.20901639344262296
182-7_1844	2	0.108
182-8_1844	2	0.22661870503597123
183_1844	2	0.05102040816326531
184_1845	2	0.05
189_1846	2	0.13157894736842105
19_1840	2	0.002777777777777778
190_1846	2	0.0603448275862069
191_1846	2	0.1774193548387097
192_1846	2	0.02717391304347826
193_1848	2	0.06790123456790123
195_1848	2	0.06756756756756757
196_1848	2	0.225
197-1_1848	2	0.332089552238806
197-2_1848	2	0.2871900826446281
198_1848	2	0.029953917050691243
199_1850	2	0.028225806451612902
2_1840	2	0.07352941176470588
200_1850	2	0.08962264150943396
201_1850	2	0.1327683615819209
202_1850	2	0.12831858407079647
204_1846	2	0.020146520146520148
205-1_1840	2	0.033582089552238806
205-2_1840	2	0.07777777777777778
205-3_1840	2	0.325
205-4_1840	2	0.15454545454545454
206_1841	2	0.04310344827586207
207-1_1849	2	0.06609195402298851
207-2_1849	2	0.06678082191780822
208_1849	2	0.030063291139240507
209_1849	2	0.2918552036199095
