id	signature	author	title	first_line	genre_subtitle	source.name	place	year	volume	number	section	page	type	translation	canon_or_not	meter	razmer	regularity	claus	rhyme	graphic_stanzas	stanza_model	stanza_type	other	Nlines	narrator	dir_speech
81	NA	Струговщиков А. Н.	Пляска мертвецов	При лунном сияньи, в ночной тишине	Баллада и рассказ	Стихотворения Александра Струговщикова, заимствованные из Гете и Шиллера : Кн. 1.	СПб.	1845	NA	NA	NA	117-119	col	J. W. von Goethe	BP	Ам	Ам4343443	reg	мжмжммж	rhymed	TRUE	Ам4343443aBaBccO	семистишие	NA	49	heterodiegetic	TRUE
82	NA	Аскоченский В. И.	Лурлеин утес	Режут молньи свод небесный	NA	Стихотворения В. Аскоченского	Киев	1846	NA	NA	NA	85-91	col	NA	periphery	ПМК	Х4+Ам2+Х2+Ам4+Х3+Я4	reg	ж-м	unreg	FALSE	unreg	unreg	NA	113	heterodiegetic	FALSE
83	NA	Аскоченский В. И.	Русская песня	Не ходи ко мне	NA	Стихотворения В. Аскоченского	Киев	1846	NA	NA	NA	130-133	col	NA	periphery	Псл	Псл	reg	м-д	unrhymed	FALSE	unreg	unreg	NA	74	homodiegetic	FALSE
84	NA	Григорьев А. А.	Из Гейне	Жил был старый король	NA	Стихотворения Аполлона Григорьева	СПб.	1846	NA	NA	NA	90-91	col	H. Heine	canon	ПМФ	Дк>Тк	reg	мжмж	rhymed	FALSE	Дк>Тк aBaB	четверостишие	NA	12	heterodiegetic	FALSE
85	NA	Плещеев А. Н.	Из Гейне***	Мне снилася дочь короля молодая	NA	Стихотворения А. Плещеева. 1845-1846.	СПб.	1846	NA	NA	NA	60	col	H. Heine	canon	Ам	Ам43	reg	жмжм	rhymed	FALSE	Ам43AbAb	четверостишие	NA	12	homodiegetic	TRUE
86	NA	Плещеев А. Н.	Из Гейне***	Все тихо…бледна из за тучи	NA	Стихотворения А. Плещеева. 1845-1846.	СПб.	1846	NA	NA	NA	61-62	col	H. Heine	canon	Ам	Ам3	reg	жмжм	unreg	FALSE	Ам3ObOb	четверостишие	NA	32	heterodiegetic	TRUE
87	NA	Плещеев А. Н.	Из Гейне***	Был старый король..(эту песню	NA	Стихотворения А. Плещеева. 1845-1846.	СПб.	1846	NA	NA	NA	69	col	H. Heine	canon	Ам	Ам3	reg	жмжм	unreg	FALSE	Ам3ObOb	четверостишие	NA	12	heterodiegetic	FALSE
88	NA	<Штукенберг А. И.>	Ожидание	Мятежные волны вздымает Эол	NA	Сибирские мелодии.	СПб.	1846	NA	NA	NA	48-49	col	NA	periphery	Ам	Ам4	reg	мм	rhymed	TRUE	Ам4aa	двустишие	NA	22	heterodiegetic	TRUE
89	NA	<Штукенберг А. И.>	Рыцарь Тогенбург	Рыцарь, нежною сестрою	NA	Сибирские мелодии.	СПб.	1846	NA	NA	NA	125-128	col	J. C. F. von Schiller	periphery	Х	Х43	reg	жмжм	rhymed	TRUE	Х43AbAb	восьмистишие графически	NA	80	heterodiegetic	TRUE
90	NA	<Штукенберг А. И.>	Альпийский стрелок	Ты постыл к всему родному	NA	Сибирские мелодии.	СПб.	1846	NA	NA	NA	131-133	col	J. C. F. von Schiller	periphery	Х	Х4	reg	жмжмжж	rhymed	TRUE	Х4AbAbCC	шестистишие	NA	48	heterodiegetic	TRUE
91	NA	Бороздна И. П.	Переяславец	Далеко ли далеко ли	NA	Лучи и тени: Новые стихотворения И. Бороздны, изд. им в пользу Чернигов. дет. приюта	М.	1847	NA	NA	NA	66-70	col	NA	periphery	Х	Х4	reg	жмжжм	rhymed	TRUE	Х4AbAAb	пятистишие	NA	80	mixed	TRUE
92	NA	Чернов П.	Кольцо красавицы	Она стоит, в венке из роз	NA	Стихотворения Платона Чернова (1845, 46 и 47).	СПб.	1847	NA	NA	NA	8-9	col	NA	periphery	Я	Я4	reg	мжмж	rhymed	TRUE	Я4aBaB	катрен	NA	36	heterodiegetic	FALSE
93	NA	Чернов П.	***	В бледной комнатке, невеста	NA	Стихотворения Платона Чернова (1845, 46 и 47).	СПб.	1847	NA	NA	NA	15-16	col	NA	periphery	Х	Х4	reg	ж-м	rhymed	FALSE	unreg	вольная рифмовка	NA	42	heterodiegetic	TRUE
94	NA	Чернов П.	Нищий	Вчера голодный по морозу	NA	Стихотворения Платона Чернова (1845, 46 и 47).	СПб.	1847	NA	NA	NA	21-22	col	NA	periphery	Я	Я4	reg	жмжм	rhymed	TRUE	Я4AbAb	катрен	NA	32	homodiegetic	FALSE
95	NA	Чернов П.	Рыцарь	Едет рыцарь в поле чистом	NA	Стихотворения Платона Чернова (1845, 46 и 47).	СПб.	1847	NA	NA	NA	23-24	col	NA	periphery	Х	Х4	reg	жмжм	rhymed	TRUE	Х4AbAb	катрен	NA	28	heterodiegetic	FALSE
